file,date,court,case,skk,ecli,outcome,source_context,evidence,sentence_mentions,mentions_329,duplicate_note
Anonimizets_nolemums_489863.pdf,2022.gada 18.oktobrī,Rīgas pilsētas tiesa,"12910001422, K77-1920-22/68",,ECLI:LV:RPT:2022:1018.12910001422.2.S,notiesājošs / vainīgs,iepirkuma dokuments,SMS/īsziņas; e-pasts; amatpersonas dokumenti/brīdinājums,naudas sod,9,
Anonimizets_nolemums_492646.pdf,2022.gada 6.jūnijā,Augstākā tiesa,,SKK-535/2008,ECLI:LV:ZAT:2022:0606.11860007918.9.SSPRIEDUMS,notiesājošs / vainīgs; attaisnošana minēta; atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,VID sistēma; Kriminālprocess/izmeklēšanas noslēpums; policijas sistēmas,telefonsarunas / zvani; SMS/īsziņas; Messenger/Facebook; e-pasts; sistēmu auditācijas dati; datora/telefona apskate; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,sabiedrisk,20,
Anonimizets_nolemums_492796.pdf,2022.gada 29.novembrī,Latvijas Republikas Senāts,"11860007918, SKK-576/2022",SKK-576/2022,ECLI:LV:AT:2022:1129.11860007918.10.L,atteikts ierosināt kasāciju,,liecinieki; amatpersonas dokumenti/brīdinājums,,3,
Anonimizets_nolemums_492806.pdf,2022.gada 30.novembrī,Latvijas Republikas Senāts,"11860006116, SKK?313/2022",SKK-417/2014,ECLI:LV:AT:2022:1130.11860006116.4.L,atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,VID sistēma,SMS/īsziņas; amatpersonas dokumenti/brīdinājums,"brīvības atņem, naudas sod",14,
Anonimizets_nolemums_492844.pdf,2020.gada 16.septembrī,Augstākā tiesa,,SKK-147/2017,ECLI:LV:ZRT:2020:0916.11860007918.5.S,notiesājošs / vainīgs; atstāts negrozīts,VID sistēma; Kriminālprocess/izmeklēšanas noslēpums; policijas sistēmas,telefonsarunas / zvani; Messenger/Facebook; e-pasts; sistēmu auditācijas dati; datora/telefona apskate; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,"brīvības atņem, īslaicīg, naudas sod",15,
Anonimizets_nolemums_499095.pdf,2023.gada 24.janvārī,Latgales apgabaltiesa,11860006116,SKK-318/2015,ECLI:LV:LAAT:2023:0124.11860006116.5.S,attaisnošana minēta; atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,VID sistēma; Iedzīvotāju reģistrs/PMLP; Kriminālprocess/izmeklēšanas noslēpums,SMS/īsziņas; amatpersonas dokumenti/brīdinājums,"brīvības atņem, īslaicīg, probācijas uzraudz, sabiedrisk, naudas sod",20,
Anonimizets_nolemums_499244.pdf,2021.gada 13.septembrī,,"11860006116, sodītās personas vārdu, uzvārdu. Dokuments par naudas soda samaksu iesniedzams Rēzeknes tiesā.",SKK-147/2017,ECLI:LV:REZT:2021:0913.11860006116.1.S,notiesājošs / vainīgs,VID sistēma; Iedzīvotāju reģistrs/PMLP,telefonsarunas / zvani; SMS/īsziņas; sistēmu auditācijas dati; liecinieki; amatpersonas dokumenti/brīdinājums,"brīvības atņem, sabiedrisk, naudas sod",9,
Anonimizets_nolemums_499245.pdf,2022.gada 18.janvārī,Latgales apgabaltiesas,11860006116,SKK- 147/2017,ECLI:LV:LAAT:2022:0118.11860006116.3.S,attaisnošana minēta; atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,VID sistēma; Iedzīvotāju reģistrs/PMLP; Kriminālprocess/izmeklēšanas noslēpums,telefonsarunas / zvani; SMS/īsziņas; sistēmu auditācijas dati; liecinieki; amatpersonas dokumenti/brīdinājums,"brīvības atņem, īslaicīg, probācijas uzraudz, sabiedrisk, naudas sod",29,
Anonimizets_nolemums_499986.pdf,2023. gada 8. februārī,"Rīgas pilsētas tiesa,",,,ECLI:LV:RPT:2023:0208.11860004721.4.S,atcelts/nodots jaunai izskatīšanai,VID sistēma; policijas sistēmas,telefonsarunas / zvani; amatpersonas dokumenti/brīdinājums,sabiedrisk,3,
Anonimizets_nolemums_503861.pdf,2023. gada 20. martā,Rīgas pilsētas tiesa,,,ECLI:LV:RPT:2023:0320.11840003622.2.S,atstāts negrozīts,VID sistēma,telefonsarunas / zvani; amatpersonas dokumenti/brīdinājums,"brīvības atņem, īslaicīg",123,
Anonimizets_nolemums_508102.pdf,2023.gada 16.janvārī,Rīgas pilsētas tiesa,,SKK-306/2014,ECLI:LV:RPT:2023:0116.11514002317.5.S,notiesājošs / vainīgs,VID sistēma; iepirkuma dokuments; policijas sistēmas,telefonsarunas / zvani; WhatsApp; Messenger/Facebook; e-pasts; sistēmu auditācijas dati; kratīšana/izņemšana; datora/telefona apskate; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,sabiedrisk,9,
Anonimizets_nolemums_510320.pdf,2023. gada 30. jūnijā,Latvijas Republikas Senāts,"15830013015, SKK-28/2023",SKK-28/2023,ECLI:LV:AT:2023:0630.15830013015.6.L,,VID sistēma,e-pasts; amatpersonas dokumenti/brīdinājums,naudas sod,13,
Anonimizets_nolemums_529763 (1).pdf,2024. gada 21. februārī,"tiesas sēdes priekšsēdētājs tiesnesis Jānis Tiltiņš,",,,ECLI:LV:RAT:2024:0221.15830013015.7.S,attaisnošana minēta; atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,VID sistēma; policijas sistēmas,telefonsarunas / zvani; e-pasts; sistēmu auditācijas dati; kratīšana/izņemšana; datora/telefona apskate; liecinieki; amatpersonas dokumenti/brīdinājums,naudas sod,14,
Anonimizets_nolemums_529763.pdf,2024. gada 21. februārī,"tiesas sēdes priekšsēdētājs tiesnesis Jānis Tiltiņš,",,,ECLI:LV:RAT:2024:0221.15830013015.7.S,attaisnošana minēta; atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,VID sistēma; policijas sistēmas,telefonsarunas / zvani; e-pasts; sistēmu auditācijas dati; kratīšana/izņemšana; datora/telefona apskate; liecinieki; amatpersonas dokumenti/brīdinājums,naudas sod,14,same ECLI as Anonimizets_nolemums_529763 (1).pdf
Anonimizets_nolemums_529825.pdf,2021.gada 7.oktobrī,Augstākā tiesa,11096165905)).,SKK-94/2006,ECLI:LV:RVPT:2021:1007.15830013015.3.S,notiesājošs / vainīgs; attaisnošana minēta,VID sistēma; Kriminālprocess/izmeklēšanas noslēpums; policijas sistēmas,telefonsarunas / zvani; SMS/īsziņas; e-pasts; kratīšana/izņemšana; datora/telefona apskate; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,"brīvības atņem, īslaicīg, naudas sod",15,
Anonimizets_nolemums_536904.pdf,2021. gada 9. septembrī,Augstākā tiesa,11905007418 lēmumu par lietas nodošanu tiesai (sastādījusi /amats//Valsts,SKK-147/2017,ECLI:LV:ZAT:2021:0909.16870001820.8.S,attaisnošana minēta; atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,TIS; VID sistēma; Sodu reģistrs; Kriminālprocess/izmeklēšanas noslēpums; policijas sistēmas,operatīvā noklausīšanās; SMS/īsziņas; kratīšana/izņemšana; datora/telefona apskate; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,"brīvības atņem, īslaicīg, naudas sod",57,
Anonimizets_nolemums_536919.pdf,2023.gada 20.aprīlī,Latvijas Republikas Senāts,,SKK- 147/2017,ECLI:LV:VAT:2023:0420.16870001820.17.S,attaisnošana minēta; atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,TIS; VID sistēma; Sodu reģistrs; Kriminālprocess/izmeklēšanas noslēpums; policijas sistēmas,operatīvā noklausīšanās; telefonsarunas / zvani; SMS/īsziņas; WhatsApp; sistēmu auditācijas dati; kratīšana/izņemšana; datora/telefona apskate; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,"brīvības atņem, īslaicīg, probācijas uzraudz, sabiedrisk, naudas sod",30,
Anonimizets_nolemums_536979.pdf,2024. gada 30. jūlijā,Latvijas Republikas Senāts,"16870001820, SKK-48/2024",SKK-48/2024,ECLI:LV:AT:2024:0730.16870001820.18.L,attaisnošana minēta; atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,VID sistēma; Sodu reģistrs; policijas sistēmas,operatīvā noklausīšanās; SMS/īsziņas; kratīšana/izņemšana; liecinieki; amatpersonas dokumenti/brīdinājums,"brīvības atņem, naudas sod",21,
Anonimizets_nolemums_537096 (1).pdf,2024. gada 31. jūlijā,Latvijas Republikas Senāts,"16870001820, SKK-48/2024",SKK-48/2024,ECLI:LV:AT:2024:0731.16870001820.20.L,,VID sistēma,,,0,
Anonimizets_nolemums_537096.pdf,2024. gada 31. jūlijā,Latvijas Republikas Senāts,"16870001820, SKK-48/2024",SKK-48/2024,ECLI:LV:AT:2024:0731.16870001820.20.L,,VID sistēma,,,0,same ECLI as Anonimizets_nolemums_537096 (1).pdf
Anonimizets_nolemums_537814 (1).pdf,2024. gada 22. augustā,Latvijas Republikas Senāts,"16870003620, SKK-389/2024",SKK-389/2024,ECLI:LV:AT:2024:0822.16870003620.3.L,atcelts/nodots jaunai izskatīšanai; atteikts ierosināt kasāciju,,amatpersonas dokumenti/brīdinājums,,3,
Anonimizets_nolemums_537814.pdf,2024. gada 22. augustā,Latvijas Republikas Senāts,"16870003620, SKK-389/2024",SKK-389/2024,ECLI:LV:AT:2024:0822.16870003620.3.L,atcelts/nodots jaunai izskatīšanai; atteikts ierosināt kasāciju,,amatpersonas dokumenti/brīdinājums,,3,same ECLI as Anonimizets_nolemums_537814 (1).pdf
Anonimizets_nolemums_538088.pdf,2024.gada 21.februārī,Tiesas sēdes priekšsēdētājs K.Līcis,,SKK-25/2019,ECLI:LV:KUAT:2024:0221.16870003620.2.S,notiesājošs / vainīgs; attaisnošana minēta; atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,,telefonsarunas / zvani; SMS/īsziņas; e-pasts; liecinieki; atzīšanās/paskaidrojumi; amatpersonas dokumenti/brīdinājums,naudas sod,14,
SKK-147-2017.doc,2005.gada 29.novembrī,Augstākā tiesa,,SKK-147/2017,,atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,VID sistēma; Kriminālprocess/izmeklēšanas noslēpums,e-pasts; kratīšana/izņemšana; liecinieki; amatpersonas dokumenti/brīdinājums,,17,
SKK-175-2026 (1).docx,2020. gada 7. maijā,,"68700001323, SKK-175/2026",SKK-175/2026,ECLI:LV:AT:2026:0414.68700001323.8.L,atteikts ierosināt kasāciju,iepirkuma dokuments,Signal; datora/telefona apskate; liecinieki; amatpersonas dokumenti/brīdinājums,,5,
SKK-175-2026.docx,2020. gada 7. maijā,,"68700001323, SKK-175/2026",SKK-175/2026,ECLI:LV:AT:2026:0414.68700001323.8.L,atteikts ierosināt kasāciju,iepirkuma dokuments,Signal; datora/telefona apskate; liecinieki; amatpersonas dokumenti/brīdinājums,,5,same ECLI as SKK-175-2026 (1).docx
SKK-25-2019.docx,2007.gada 29.novembrī,,"11860000217, SKK-25/2019",SKK-25/2019,ECLI:LV:AT:2019:0425.11860000217.3.L,attaisnošana minēta; atcelts/nodots jaunai izskatīšanai,VID sistēma; policijas sistēmas,telefonsarunas / zvani; liecinieki; amatpersonas dokumenti/brīdinājums,naudas sod,14,same ECLI as Anonimizets_nolemums_381397.pdf
SKK-289-13.doc,2010.gada 26.oktobrī,Latvijas Republikas Augstākās tiesas Senāts šādā sastāvā:,11819002111),SKK –289/2013,,attaisnošana minēta; atcelts/nodots jaunai izskatīšanai,VID sistēma; policijas sistēmas,operatīvā noklausīšanās; telefonsarunas / zvani; SMS/īsziņas; liecinieki; amatpersonas dokumenti/brīdinājums,"īslaicīg, naudas sod",12,
SKK-313-2022.docx,2020.gada 6.jūlijā,"Tiesa šādā sastāvā: senatori Sandra Kaija, Irīna Jansone, Aivars Uminskis","11860006116, SKK-313/2022",SKK-313/2022,ECLI:LV:AT:2022:1130.11860006116.4.L,atcelts/nodots jaunai izskatīšanai; atstāts negrozīts,VID sistēma,SMS/īsziņas; amatpersonas dokumenti/brīdinājums,"brīvības atņem, naudas sod",15,same ECLI as Anonimizets_nolemums_492806.pdf
SKK-375-13.doc,2009.gada 7.septembrī,Latvijas Republikas Augstākās tiesas Senāts šādā sastāvā:,11840004811),SKK –375/2013,,attaisnošana minēta,policijas sistēmas,operatīvā noklausīšanās; telefonsarunas / zvani; SMS/īsziņas; kratīšana/izņemšana; liecinieki; amatpersonas dokumenti/brīdinājums,naudas sod,12,
SKK-J-221-2020.docx,2019.gada 9.septembrī,Augstākā tiesa,"12812001716, SKK-J-221/2020",SKK-J-221/2020,ECLI:LV:AT:2020:0604.12812001716.5.L,atteikts ierosināt kasāciju; atstāts negrozīts,VID sistēma; Sodu reģistrs; Kriminālprocess/izmeklēšanas noslēpums,operatīvā noklausīšanās; SMS/īsziņas; liecinieki; amatpersonas dokumenti/brīdinājums,naudas sod,13,same ECLI as Anonimizets_nolemums_416226.pdf
